,Record#,CIP# Only,Major Program Name,Degree Level,NCWIT Participant,Institution,What degrees does your institution offer?,School Year,When do students typically declare their major?,"Enroll, Female: Avg. ACT Math Score (Enrl F)","Enroll, Female: Asian (Enrl F)","Enroll, Female: Average Age (Enrl F)","Enroll, Female: Average HS GPA (Enrl F)","Enroll, Female: Avg. SAT Math Score (Enrl F)","Enroll, Female: Black/African American (Enrl F)","Enroll, Female: Hispanics of any race (Enrl F)","Enroll, Female: American Indian/Alaska Native (Enrl F)","Enroll, Female: Native Hawaiian/Other Pacific Islander (Enrl F)","Enroll, Female: Two or more races (Enrl F)","Enroll, Female: New Enrollments (Enrl F)","Enroll, Female: Transfer Students (Enrl F)","Enroll, Female: US Citizens (Enrl F)","Enroll, Female: White (Enrl F)","Enroll, Male: Avg. ACT Math Score (Enrl M)","Enroll, Male: Asian (Enrl M)","Enroll, Male: Average Age (Enrl M)","Enroll, Male: Average HS GPA (Enrl M)","Enroll, Male: Avg. SAT Math Score (Enrl M)","Enroll, Male: Black/African American (Enrl M)","Enroll, Male: Hispanics of any race (Enrl M)","Enroll, Male: American Indian/Alaska Native (Enrl M)","Enroll, Male: Native Hawaiian/Other Pacific Islander (Enrl M)","Enroll, Male: Two or more races (Enrl M)","Enroll, Male: New Enrollments (Enrl M)","Enroll, Male: Transfer Students (Enrl M)","Enroll, Male: US Citizens (Enrl M)","Enroll, Male: White (Enrl M)","Freshmen, Female: Asian (Fshm F)","Freshmen, Female: Black/African American (Fshm F)","Freshmen, Female: Cumulative GPA (Fshm F)","Freshmen, Female: Enrolled in DIFFERENT MAJOR (Fshm F)","Freshmen, Female: Enrolled in SAME MAJOR (Fshm F)","Freshmen, Female: Graduated (Fshm F)","Freshmen, Female: Hispanics of any race (Fshm F)","Freshmen, Female: Left Institution (not graduated) (Fshm F)","Freshmen, Female: American Indian/Alaska Native (Fshm F)","Freshmen, Female: Native Hawaiian/Other Pacific Islander (Fshm F)","Freshmen, Female: Two or more races (Fshm F)","Freshmen, Female: Total Declared Majors (Fshm F)","Freshmen, Female: US Citizens (Fshm F)","Freshmen, Female: White (Fshm F)","Freshmen, Male: Asian (Fshm M)","Freshmen, Male: Black/African American (Fshm M)","Freshmen, Male: Cumulative GPA (Fshm M)","Freshmen, Male: Enrolled in DIFFERENT MAJOR (Fshm M)","Freshmen, Male: Enrolled in SAME MAJOR (Fshm M)","Freshmen, Male: Graduated (Fshm M)","Freshmen, Male: Hispanics of any race (Fshm M)","Freshmen, Male: Left Institution (not graduated) (Fshm M)","Freshmen, Male: American Indian/Alaska Native (Fshm M)","Freshmen, Male: Native Hawaiian/Other Pacific Islander (Fshm M)","Freshmen, Male: Two or more races (Fshm M)","Freshmen, Male: Total Declared Majors (Fshm M)","Freshmen, Male: US Citizens (Fshm M)","Freshmen, Male: White (Fshm M)","Sophomores, Female: Asian (Sph. F)","Sophomores, Female: Black/African American (Sph. F)","Sophomores, Female: Cumulative GPA (Sph. F)","Sophomores, Female: Enrolled in DIFFERENT MAJOR (Sph. F)","Sophomores, Female: Enrolled in SAME MAJOR (Sph. F)","Sophomores, Female: Graduated (Sph. F)","Sophomores, Female: Hispanics of any race (Sph. F)","Sophomores, Female: Left Institution (not graduated) (Sph. F)","Sophomores, Female: American Indian/Alaska Native (Sph. F)","Sophomores, Female: Native Hawaiian/Other Pacific Islander (Sph. F)","Sophomores, Female: Two or more races (Sph. F)","Sophomores, Female: Total Declared Majors (Sph. F)","Sophomores, Female: US Citizens (Sph. F)","Sophomores, Female: White (Sph. F)","Sophomores, Male: Asian (Sph. M)","Sophomores, Male: Black/African American (Sph. M)","Sophomores, Male: Cumulative GPA (Sph. M)","Sophomores, Male: Enrolled in DIFFERENT MAJOR (Sph. M)","Sophomores, Male: Enrolled in SAME MAJOR (Sph. M)","Sophomores, Male: Graduated (Sph. M)","Sophomores, Male: Hispanics of any race (Sph. M)","Sophomores, Male: Left Institution (not graduated) (Sph. M)","Sophomores, Male: American Indian/Alaska Native (Sph. M)","Sophomores, Male: Native Hawaiian/Other Pacific Islander (Sph. M)","Sophomores, Male: Two or more races (Sph. M)","Sophomores, Male: Total Declared Majors (Sph. M)","Sophomores, Male: US Citizens (Sph. M)","Sophomores, Male: White (Sph. M)","Juniors, Female: Asian (Jun. F)","Juniors, Female: Black/African American (Jun. F)","Juniors, Female: Cumulative GPA (Jun. F)","Juniors, Female: Enrolled in DIFFERENT MAJOR (Jun. F)","Juniors, Female: Enrolled in SAME MAJOR (Jun. F)","Juniors, Female: Graduated (Jun. F)","Juniors, Female: Hispanics of any race (Jun. F)","Juniors, Female: Left Institution (not graduated) (Jun. F)","Juniors, Female: American Indian/Alaska Native (Jun. F)","Juniors, Female: Native Hawaiian/Other Pacific Islander (Jun. F)","Juniors, Female: Two or more races (Jun. F)","Juniors, Female: Total Declared Majors (Jun. F)","Juniors, Female: US Citizens (Jun. F)","Juniors, Female: White (Jun. F)","Juniors, Male: Asian (Jun. M)","Juniors, Male: Black/African American (Jun. M)","Juniors, Male: Cumulative GPA (Jun. M)","Juniors, Male: Enrolled in DIFFERENT MAJOR (Jun. M)","Juniors, Male: Enrolled in SAME MAJOR (Jun. M)","Juniors, Male: Graduated (Jun. M)","Juniors, Male: Hispanics of any race (Jun. M)","Juniors, Male: Left Institution (not graduated) (Jun. M)","Juniors, Male: American Indian/Alaska Native (Jun. M)","Juniors, Male: Native Hawaiian/Other Pacific Islander (Jun. M)","Juniors, Male: Two or more races (Jun. M)","Juniors, Male: Total Declared Majors (Jun. M)","Juniors, Male: US Citizens (Jun. M)","Juniors, Male: White (Jun. M)","Seniors, Female: Asian (Sen. F)","Seniors, Female: Black/African American (Sen. F)","Seniors, Female: Cumulative GPA (Sen. F)","Seniors, Female: Enrolled in DIFFERENT MAJOR (Sen. F)","Seniors, Female: Enrolled in SAME MAJOR (Sen. F)","Seniors, Female: Graduated (Sen. F)","Seniors, Female: Hispanics of any race (Sen. F)","Seniors, Female: Left Institution (not graduated) (Sen. F)","Seniors, Female: American Indian/Alaska Native (Sen. F)","Seniors, Female: Native Hawaiian/Other Pacific Islander (Sen. F)","Seniors, Female: Two or more races (Sen. F)","Seniors, Female: Total Declared Majors (Sen. F)","Seniors, Female: US Citizens (Sen. F)","Seniors, Female: White (Sen. F)","Seniors, Male: Asian (Sen. M)","Seniors, Male: Black/African American (Sen. M)","Seniors, Male: Cumulative GPA (Sen. M)","Seniors, Male: Enrolled in DIFFERENT MAJOR (Sen. M)","Seniors, Male: Enrolled in SAME MAJOR (Sen. M)","Seniors, Male: Graduated (Sen. M)","Seniors, Male: Hispanics of any race (Sen. M)","Seniors, Male: Left Institution (not graduated) (Sen. M)","Seniors, Male: American Indian/Alaska Native (Sen. M)","Seniors, Male: Native Hawaiian/Other Pacific Islander (Sen. M)","Seniors, Male: Two or more races (Sen. M)","Seniors, Male: Total Declared Majors (Sen. M)","Seniors, Male: US Citizens (Sen. M)","Seniors, Male: White (Sen. M)","5th Yr Seniors, Female: Asian (5 Sen F)","5th Yr Seniors, Female: Black/African American (5 Sen F)","5th Yr Seniors, Female: Cumulative GPA (5 Sen F)","5th Yr Seniors, Female: Enrolled in DIFFERENT MAJOR (5 Sen F)","5th Yr Seniors, Female: Enrolled in SAME MAJOR (5 Sen F)","5th Yr Seniors, Female: Graduated (5 Sen F)","5th Yr Seniors, Female: Hispanics of any race (5 Sen F)","5th Yr Seniors, Female: Left Institution (not graduated) (5 Sen F)","5th Yr Seniors, Female: American Indian/Alaska Native (5 Sen F)","5th Yr Seniors, Female: Native Hawaiian/Other Pacific Islander (5 Sen F)","5th Yr Seniors, Female: Two or more races (5 Sen F)","5th Yr Seniors, Female: Total Declared Majors (5 Sen F)","5th Yr Seniors, Female: US Citizens (5 Sen F)","5th Yr Seniors, Female: White (5 Sen F)","5th Yr Seniors, Male: Asian (5 Sen M)","5th Yr Seniors, Male: Black/African American (5 Sen M)","5th Yr Seniors, Male: Cumulative GPA (5 Sen M)","5th Yr Seniors, Male: Enrolled in DIFFERENT MAJOR (5 Sen M)","5th Yr Seniors, Male: Enrolled in SAME MAJOR (5 Sen M)","5th Yr Seniors, Male: Graduated (5 Sen M)","5th Yr Seniors, Male: Hispanics of any race (5 Sen M)","5th Yr Seniors, Male: Left Institution (not graduated) (5 Sen M)","5th Yr Seniors, Male: American Indian/Alaska Native (5 Sen M)","5th Yr Seniors, Male: Native Hawaiian/Other Pacific Islander (5 Sen M)","5th Yr Seniors, Male: Two or more races (5 Sen M)","5th Yr Seniors, Male: Total Declared Majors (5 Sen M)","5th Yr Seniors, Male: US Citizens (5 Sen M)","5th Yr Seniors, Male: White (5 Sen M)","Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Cumulative GPA (Tot. F)","Totals, Female: Enrolled in DIFFERENT MAJOR (Tot. F)","Totals, Female: Enrolled in SAME MAJOR (Tot. F)","Totals, Female: Graduated (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Left Institution (not graduated) (Tot. F)","Totals, Female: American Indian/Alaska Native (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: Total Declared Majors (Tot. F)","Totals, Female: US Citizens (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Cumulative GPA (Tot. M)","Totals, Male: Enrolled in DIFFERENT MAJOR (Tot. M)","Totals, Male: Enrolled in SAME MAJOR (Tot. M)","Totals, Male: Graduated (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: Left Institution (not graduated) (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: Total Declared Majors (Tot. M)","Totals, Male: US Citizens (Tot. M)","Totals, Male: White (Tot. M)",Minors: Female: Asian (Min. F),Minors: Female: Black/African American (Min. F),Minors: Female: Native Hawaiian/Other Pacific Islander (Min. F),Minors: Female: American Indian/Alaska Native (Min. F),Minors: Female: Hispanics of any race (Min. F),Minors: Female: Two or more races (Min. F),Minors: Female: Total Declared Minors (Min. F),Minors: Female: White (Min. F),Minors: Male: Asian (Min. M),Minors: Male: Black/African American (Min. M),Minors: Male: Native Hawaiian/Other Pacific Islander (Min. M),Minors: Male: American Indian/Alaska Native (Min. M),Minors: Male: Hispanics of any race (Min. M),Minors: Male: Two or more races (Min. M),Minors: Male: Total Declared Minors (Min. M),Minors: Male: White (Min. M),Nonresident Alien (Acpt. F),Race/Ethnicity Unknown (Acpt. F),Nonresident Alien (Acpt. M),Race/Ethnicity Unknown (Acpt. M),Nonresident Alien (App. F),Race/Ethnicity Unknown (App. F),Nonresident Alien (App. M),Race/Ethnicity Unknown (App. M),Nonresident Alien (Enrl F),Race/Ethnicity Unknown (Enrl F),Nonresident Alien (Enrl M),Race/Ethnicity Unknown (Enrl M),Nonresident Alien (Fshm F),Race/Ethnicity Unknown (Fshm F),Nonresident Alien (Fshm M),Race/Ethnicity Unknown (Fshm M),Nonresident Alien (Jun. F),Race/Ethnicity Unknown (Jun. F),Nonresident Alien (Jun. M),Race/Ethnicity Unknown (Jun. M),Nonresident Alien (Min. F),Race/Ethnicity Unknown (Min. F),Nonresident Alien (Min. M),Race/Ethnicity Unknown (Min. M),Nonresident Alien (5 Sen F),Race/Ethnicity Unknown (5 Sen F),Nonresident Alien (Sen. F),Race/Ethnicity Unknown (Sen. F),Nonresident Alien (5 Sen M),Race/Ethnicity Unknown (5 Sen M),Nonresident Alien (Sen. M),Race/Ethnicity Unknown (Sen. M),Nonresident Alien (Sph. F),Race/Ethnicity Unknown (Sph. F),Nonresident Alien (Sph. M),Race/Ethnicity Unknown (Sph. M),Nonresident Alien (Min. F).1,Race/Ethnicity Unknown (Min. F).1,Nonresident Alien (Min. M).1,Race/Ethnicity Unknown (Min. M).1,Nonresident Alien (Min. F).2,Race/Ethnicity Unknown (Min. F).2,Nonresident Alien (Min. M).2,Race/Ethnicity Unknown (Min. M).2,Nonresident Alien (Tot. F),Race/Ethnicity Unknown (Tot. F),Nonresident Alien (Tot. M),Race/Ethnicity Unknown (Tot. M)
699,1476.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2005-2006,End of 2nd Year,,0.0,,,,0.0,1.0,0.0,0.0,,4.0,1.0,,3.0,,8.0,,,,0.0,7.0,0.0,0.0,,54.0,12.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,6.0,3.0,2.0,,0.0,0.0,1.0,9.0,,2.0,15.0,1.0,,,57.0,51.0,12.0,,0.0,0.0,17.0,108.0,,63.0,,,,,,,,,,,,,,,,,,1.0,,22.0,,1.0,,29.0,,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,1477.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2006-2007,End of 2nd Year,,1.0,,,,0.0,2.0,0.0,0.0,,6.0,0.0,,1.0,,12.0,,,,3.0,9.0,1.0,0.0,,60.0,9.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,6.0,5.0,2.0,,0.0,0.0,2.0,11.0,11.0,3.0,11.0,0.0,,,46.0,43.0,10.0,,0.0,0.0,14.0,89.0,88.0,54.0,,,,,,,,,,,,,,,,,,6.0,,33.0,,6.0,,36.0,,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,1478.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2007-2008,End of 2nd Year,,4.0,,,,0.0,0.0,0.0,0.0,,6.0,1.0,,2.0,,31.0,,,,4.0,20.0,0.0,0.0,,127.0,16.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,8.0,4.0,1.0,,0.0,0.0,1.0,12.0,12.0,4.0,12.0,2.0,,,71.0,40.0,10.0,,0.0,0.0,12.0,111.0,110.0,75.0,,,,,,,,,,,,,,,,,,3.0,,29.0,,3.0,,39.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,1479.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2008-2009,End of 2nd Year,,8.0,,,,1.0,3.0,0.0,0.0,,23.0,1.0,,8.0,,38.0,,,,2.0,15.0,0.0,2.0,,149.0,23.0,,62.0,8.0,1.0,2.87,,,,1.0,,0.0,0.0,,17.0,,6.0,39.0,4.0,2.9,,,,18.0,,0.0,2.0,,127.0,,58.0,5.0,0.0,2.93,,,,2.0,,0.0,0.0,,9.0,,1.0,18.0,6.0,2.94,,,,13.0,,0.0,0.0,,85.0,,44.0,1.0,0.0,3.16,,,,0.0,,0.0,1.0,,4.0,,1.0,16.0,3.0,3.02,,,,7.0,,1.0,0.0,,78.0,,44.0,5.0,0.0,3.23,,,,2.0,,0.0,0.0,,9.0,,2.0,8.0,0.0,3.14,,,,6.0,,0.0,0.0,,66.0,,44.0,,,,,,,,,,,,,,,0.0,0.0,3.01,,,,0.0,,0.0,0.0,,2.0,,2.0,19.0,1.0,3.05,15.0,22.0,3.0,5.0,,0.0,1.0,0.0,39.0,,10.0,81.0,13.0,3.0,47.0,233.0,45.0,44.0,,1.0,2.0,0.0,358.0,,192.0,,,,,,,,,,,,,,,,,,9.0,,33.0,,3.0,,43.0,,2.0,,7.0,,1.0,,6.0,,1.0,,7.0,,,,,,,,0.0,,0.0,,8.0,,1.0,,4.0,,,,,,,,,,,,
748,1685.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2012-2013,End of 2nd Year,,10.0,,,,4.0,1.0,0.0,1.0,,28.0,5.0,,7.0,,50.0,,,,4.0,6.0,2.0,1.0,,171.0,48.0,,60.0,9.0,3.0,3.0,,,,11.0,,0.0,0.0,,34.0,34.0,8.0,48.0,3.0,3.0,,,,47.0,,0.0,0.0,,195.0,195.0,71.0,10.0,0.0,3.0,,,,3.0,,0.0,0.0,,20.0,20.0,5.0,31.0,2.0,3.0,,,,23.0,,0.0,0.0,,111.0,111.0,39.0,5.0,1.0,2.97,,,,1.0,,1.0,0.0,,14.0,14.0,4.0,28.0,1.0,3.1,,,,13.0,,1.0,1.0,,129.0,128.0,75.0,5.0,1.0,3.14,,,,4.0,,0.0,0.0,,17.0,17.0,7.0,38.0,4.0,3.26,,,,17.0,,2.0,1.0,,171.0,170.0,96.0,0.0,0.0,3.18,,,,0.0,,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,2.97,,,,0.0,,0.0,0.0,,2.0,2.0,1.0,29.0,5.0,3.06,17.0,54.0,13.0,19.0,,1.0,0.0,0.0,86.0,86.0,25.0,146.0,10.0,3.07,73.0,380.0,126.0,100.0,,3.0,2.0,0.0,608.0,606.0,282.0,,,,,,,,,,,,,,,,,,6.0,,12.0,,6.0,,17.0,,0.0,,0.0,,3.0,,26.0,,2.0,,10.0,,,,,,0.0,,0.0,,0.0,,13.0,,2.0,,16.0,,,,,,,,,,,,
749,1686.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2011-2012,End of 2nd Year,,5.0,,,,0.0,2.0,0.0,0.0,,15.0,2.0,,6.0,,45.0,,,,5.0,25.0,1.0,1.0,,136.0,26.0,,33.0,5.0,0.0,2.92,,,,2.0,,0.0,0.0,,17.0,17.0,8.0,44.0,2.0,2.26,,,,29.0,,0.0,0.0,,140.0,140.0,48.0,5.0,1.0,2.98,,,,2.0,,0.0,0.0,,13.0,13.0,4.0,31.0,1.0,3.06,,,,12.0,,0.0,0.0,,99.0,99.0,47.0,3.0,0.0,3.02,,,,3.0,,0.0,0.0,,11.0,11.0,5.0,19.0,2.0,3.23,,,,13.0,,1.0,0.0,,105.0,104.0,62.0,6.0,1.0,3.16,,,,1.0,,0.0,0.0,,20.0,20.0,10.0,36.0,5.0,3.21,,,,15.0,,2.0,1.0,,149.0,145.0,72.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.83,,,,0.0,,0.0,0.0,,4.0,4.0,3.0,19.0,2.0,3.02,11.0,38.0,13.0,8.0,,0.0,0.0,0.0,61.0,61.0,27.0,130.0,11.0,2.92,76.0,296.0,126.0,69.0,,4.0,1.0,0.0,497.0,492.0,232.0,,,,,,,,,,,,,,,,,,1.0,,10.0,,1.0,,12.0,,0.0,,0.0,,2.0,,17.0,,0.0,,8.0,,,,,,0.0,,2.0,,0.0,,17.0,,1.0,,8.0,,,,,,,,,,,,
750,1688.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2010-2011,End of 2nd Year,,5.0,,,,0.0,2.0,0.0,0.0,,17.0,4.0,,5.0,,45.0,,,,2.0,13.0,2.0,1.0,,154.0,28.0,,57.0,5.0,0.0,2.7,,,,1.0,,0.0,0.0,,14.0,14.0,7.0,45.0,1.0,2.79,,,,15.0,,0.0,0.0,,146.0,146.0,69.0,5.0,1.0,3.07,,,,4.0,,0.0,0.0,,19.0,19.0,7.0,32.0,3.0,3.03,,,,15.0,,1.0,0.0,,105.0,104.0,46.0,5.0,1.0,3.08,,,,1.0,,0.0,0.0,,12.0,12.0,4.0,32.0,4.0,3.12,,,,10.0,,1.0,1.0,,115.0,113.0,54.0,5.0,0.0,3.08,,,,0.0,,0.0,0.0,,13.0,13.0,8.0,19.0,3.0,3.11,,,,9.0,,1.0,0.0,,106.0,105.0,68.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.83,,,,0.0,,0.0,0.0,,4.0,4.0,3.0,20.0,2.0,2.98,14.0,32.0,10.0,6.0,,0.0,0.0,0.0,58.0,58.0,26.0,128.0,12.0,2.98,70.0,299.0,103.0,49.0,,3.0,1.0,0.0,476.0,472.0,240.0,,,,,,,,,,,,,,,,,,5.0,,22.0,,6.0,,31.0,,1.0,,6.0,,1.0,,16.0,,1.0,,13.0,,,,,,0.0,,0.0,,0.0,,6.0,,2.0,,8.0,,,,,,,,,,,,
751,1689.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2009-2010,End of 2nd Year,,5.0,,,,1.0,3.0,1.0,0.0,,22.0,3.0,,8.0,,32.0,,,,4.0,18.0,1.0,0.0,,151.0,35.0,,54.0,5.0,1.0,3.07,,,,3.0,,1.0,0.0,,20.0,20.0,8.0,33.0,4.0,2.99,,,,21.0,,1.0,0.0,,131.0,130.0,63.0,6.0,2.0,2.86,,,,1.0,,0.0,0.0,,16.0,16.0,6.0,34.0,7.0,2.95,,,,12.0,,1.0,2.0,,109.0,109.0,48.0,4.0,0.0,2.95,,,,0.0,,0.0,0.0,,7.0,7.0,3.0,20.0,6.0,2.97,,,,10.0,,1.0,0.0,,107.0,106.0,64.0,5.0,0.0,3.23,,,,1.0,,0.0,0.0,,9.0,9.0,2.0,15.0,2.0,3.11,,,,6.0,,1.0,0.0,,82.0,82.0,51.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.94,,,,0.0,,0.0,0.0,,6.0,6.0,6.0,20.0,3.0,3.03,12.0,28.0,7.0,5.0,,1.0,0.0,0.0,52.0,52.0,19.0,102.0,19.0,2.99,96.0,262.0,64.0,49.0,,4.0,2.0,0.0,435.0,433.0,232.0,,,,,,,,,,,,,,,,,,3.0,,33.0,,3.0,,37.0,,1.0,,7.0,,2.0,,9.0,,0.0,,6.0,,,,,,0.0,,1.0,,0.0,,7.0,,1.0,,5.0,,,,,,,,,,,,
793,2055.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2013-2014,End of 2nd Year,,16.0,,,,1.0,9.0,0.0,0.0,,33.0,3.0,,6.0,,48.0,,,,3.0,19.0,1.0,1.0,,133.0,26.0,,58.0,16.0,2.0,3.31,,,,12.0,,0.0,0.0,,42.0,,5.0,51.0,5.0,3.05,,,,45.0,,0.0,1.0,,228.0,,87.0,9.0,1.0,3.16,,,,9.0,,0.0,0.0,,28.0,,7.0,41.0,2.0,3.02,,,,42.0,,0.0,0.0,,145.0,,42.0,11.0,0.0,3.01,,,,2.0,,0.0,0.0,,25.0,,10.0,40.0,1.0,3.2,,,,25.0,,1.0,0.0,,170.0,,76.0,7.0,2.0,3.12,,,,4.0,,0.0,0.0,,25.0,,8.0,49.0,2.0,3.2,,,,20.0,,1.0,1.0,,207.0,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,5.0,3.15,29.0,78.0,11.0,27.0,,0.0,0.0,0.0,120.0,0.0,30.0,181.0,10.0,3.12,80.0,490.0,119.0,132.0,,2.0,2.0,0.0,750.0,0.0,324.0,,,,,,,,,,,,,,,,,,1.0,,17.0,,1.0,,19.0,,1.0,,3.0,,7.0,,39.0,,2.0,,27.0,,,,,,,,4.0,,,,15.0,,2.0,,18.0,,,,,,,,,,,,
1529,4343.0,11.07,Computer Science,Bachelor's,"Extension Services, Academic Alliance",302.0,"Bachelor's, master's, and Ph.D. degrees",2014-2015,End of 2nd Year,,26.0,,,,1.0,10.0,1.0,0.0,,52.0,6.0,,11.0,,95.0,,,,9.0,37.0,2.0,1.0,,243.0,32.0,,84.0,21.0,1.0,3.01,,,,10.0,,0.0,0.0,3.0,47.0,,11.0,71.0,3.0,3.17,,,,34.0,,0.0,1.0,19.0,217.0,,66.0,16.0,1.0,3.28,,,,6.0,,0.0,0.0,2.0,31.0,,3.0,32.0,0.0,3.01,,,,18.0,,0.0,1.0,10.0,105.0,,36.0,8.0,0.0,3.24,,,,4.0,,0.0,0.0,2.0,26.0,,9.0,40.0,1.0,3.12,,,,30.0,,0.0,0.0,10.0,130.0,,46.0,14.0,0.0,3.18,,,,4.0,,0.0,0.0,3.0,27.0,,6.0,37.0,2.0,3.18,,,,18.0,,1.0,0.0,16.0,164.0,,84.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,59.0,2.0,3.16,36.0,72.0,11.0,24.0,,0.0,0.0,10.0,131.0,,29.0,180.0,6.0,3.14,73.0,421.0,84.0,100.0,,1.0,2.0,55.0,616.0,,232.0,,,,,,,,,,,,,,,,,,3.0,,19.0,,10.0,,31.0,,3.0,,15.0,1.0,0.0,18.0,5.0,1.0,2.0,0.0,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,6.0,2.0,,,,,,,,,4.0,3.0,24.0,16.0
